,Model,ID,Authentication,Accuracy,Precision,Recall,F1
0,AdaBoost,1,False,0.374,0.354,0.391,0.309
1,Decision Tree,1,False,0.991,0.992,0.991,0.992
2,Gaussian Naive Bayes,1,False,0.198,0.396,0.213,0.102
3,Nearest Neighbors,1,False,0.934,0.938,0.935,0.936
4,Neural Network,1,False,0.976,0.977,0.976,0.976
5,Quadratic Discriminant Analysis,1,False,0.98,0.982,0.981,0.981
6,Random Forest,1,False,0.998,0.998,0.997,0.997
7,Support Vector Machine,1,False,0.985,0.986,0.984,0.985
