,Model,ID,Authentication,Accuracy,Precision,Recall,F1,FAR,FRR,Balance
0,AdaBoost,2,True,0.9,0.827,0.879,0.845,0.173,0.053,50/50
1,AdaBoost,2,True,0.939,0.923,0.909,0.911,0.077,0.045,60/40
2,AdaBoost,2,True,0.949,0.867,0.977,0.91,0.133,0.007,70/30
3,AdaBoost,2,True,0.949,0.889,0.891,0.883,0.111,0.03,80/20
4,AdaBoost,2,True,0.9,0.82,0.909,0.856,0.18,0.043,50/50
5,AdaBoost,2,True,0.939,0.909,0.932,0.913,0.091,0.033,60/40
6,AdaBoost,2,True,0.915,0.858,0.864,0.842,0.142,0.044,70/30
7,AdaBoost,2,True,0.949,0.876,0.891,0.877,0.124,0.029,80/20
8,AdaBoost,2,True,0.682,0.591,0.939,0.687,0.409,0.027,50/50
9,AdaBoost,2,True,0.629,0.544,0.909,0.626,0.456,0.038,60/40
10,AdaBoost,2,True,0.756,0.091,0.023,0.036,0.0,0.245,70/30
11,Decision Tree,2,True,0.794,0.091,0.055,0.068,0.0,0.207,80/20
12,Decision Tree,2,True,0.809,0.673,0.879,0.731,0.327,0.054,50/50
13,Decision Tree,2,True,0.864,0.813,0.841,0.805,0.187,0.074,60/40
14,Decision Tree,2,True,0.898,0.794,0.75,0.755,0.115,0.075,70/30
15,Decision Tree,2,True,0.913,0.83,0.836,0.814,0.17,0.045,80/20
16,Decision Tree,2,True,0.873,0.748,0.939,0.823,0.252,0.026,50/50
17,Decision Tree,2,True,0.924,0.903,0.909,0.887,0.097,0.038,60/40
18,Decision Tree,2,True,0.875,0.747,0.841,0.772,0.253,0.052,70/30
19,Decision Tree,2,True,0.917,0.849,0.8,0.812,0.151,0.055,80/20
20,Decision Tree,2,True,0.718,0.548,0.515,0.456,0.271,0.169,50/50
21,Decision Tree,2,True,0.629,0.527,0.705,0.516,0.382,0.129,60/40
22,Gaussian Naive Bayes,2,True,0.733,0.549,0.818,0.612,0.36,0.052,70/30
23,Gaussian Naive Bayes,2,True,0.708,0.517,0.764,0.576,0.483,0.085,80/20
24,Gaussian Naive Bayes,2,True,0.936,0.886,0.939,0.904,0.114,0.027,50/50
25,Gaussian Naive Bayes,2,True,0.955,0.923,0.955,0.934,0.077,0.021,60/40
26,Gaussian Naive Bayes,2,True,0.943,0.913,0.909,0.895,0.087,0.028,70/30
27,Gaussian Naive Bayes,2,True,0.953,0.919,0.873,0.887,0.081,0.034,80/20
28,Gaussian Naive Bayes,2,True,0.918,0.859,0.939,0.879,0.141,0.023,50/50
29,Gaussian Naive Bayes,2,True,0.917,0.885,0.909,0.877,0.115,0.038,60/40
30,Gaussian Naive Bayes,2,True,0.892,0.784,0.909,0.827,0.216,0.033,70/30
31,Gaussian Naive Bayes,2,True,0.909,0.791,0.891,0.821,0.209,0.032,80/20
