,Model,ID,Authentication,Accuracy,Precision,Recall,F1
0,AdaBoost,2,False,0.36363636363636365,0.22670454545454544,0.36363636363636365,0.24935064935064935
1,Decision Tree,2,False,0.8727272727272727,0.8704545454545454,0.8696969696969696,0.8625803489439854
2,Gaussian Naive Bayes,2,False,0.3090909090909091,0.26311439756415833,0.3560606060606061,0.22410074773711133
3,Nearest Neighbors,2,False,0.8363636363636363,0.8248917748917748,0.8121212121212121,0.7986346986346985
4,Neural Network,2,False,0.8545454545454545,0.8452380952380952,0.8424242424242423,0.8301698301698301
5,Quadratic Discriminant Analysis,2,False,0.45454545454545453,0.38414918414918414,0.4151515151515151,0.36728301024488713
6,Random Forest,2,False,1.0,1.0,1.0,1.0
7,Support Vector Machine,2,False,0.8727272727272727,0.8551948051948052,0.8484848484848484,0.8492840492840493
