,Model,ID,Authentication,Accuracy,Precision,Recall,F1,FAR,FRR,Balance
0,AdaBoost,2,True,0.955,0.971,0.929,0.947,0.029,0.052,50/50
1,AdaBoost,2,True,0.951,0.926,0.949,0.936,0.074,0.03,60/40
2,AdaBoost,2,True,0.969,0.913,0.961,0.934,0.087,0.011,70/30
3,AdaBoost,2,True,0.966,0.959,0.882,0.914,0.041,0.03,80/20
4,Decision Tree,2,True,0.891,0.877,0.889,0.88,0.123,0.088,50/50
5,Decision Tree,2,True,0.943,0.893,0.98,0.931,0.107,0.012,60/40
6,Decision Tree,2,True,0.955,0.888,0.922,0.897,0.112,0.021,70/30
7,Decision Tree,2,True,0.93,0.851,0.818,0.832,0.149,0.047,80/20
8,Gaussian Naive Bayes,2,True,0.627,0.581,0.96,0.701,0.419,0.024,50/50
9,Gaussian Naive Bayes,2,True,0.496,0.47,0.919,0.566,0.53,0.059,60/40
10,Gaussian Naive Bayes,2,True,0.793,0.091,0.052,0.066,0.0,0.209,70/30
11,Gaussian Naive Bayes,2,True,0.803,0.091,0.055,0.068,0.0,0.198,80/20
12,Nearest Neighbors,2,True,0.909,0.889,0.929,0.905,0.111,0.062,50/50
13,Nearest Neighbors,2,True,0.894,0.86,0.859,0.857,0.14,0.083,60/40
14,Nearest Neighbors,2,True,0.938,0.84,0.909,0.865,0.16,0.025,70/30
15,Nearest Neighbors,2,True,0.934,0.878,0.791,0.829,0.122,0.053,80/20
16,Neural Network,2,True,0.882,0.85,0.909,0.876,0.15,0.079,50/50
17,Neural Network,2,True,0.917,0.894,0.899,0.887,0.106,0.054,60/40
18,Neural Network,2,True,0.935,0.851,0.857,0.843,0.149,0.038,70/30
19,Neural Network,2,True,0.922,0.899,0.718,0.786,0.101,0.069,80/20
20,Quadratic Discriminant Analysis,2,True,0.664,0.592,0.545,0.514,0.317,0.259,50/50
21,Quadratic Discriminant Analysis,2,True,0.674,0.663,0.606,0.547,0.337,0.211,60/40
22,Quadratic Discriminant Analysis,2,True,0.622,0.472,0.857,0.54,0.528,0.042,70/30
23,Quadratic Discriminant Analysis,2,True,0.598,0.412,0.882,0.523,0.588,0.041,80/20
24,Random Forest,2,True,0.941,0.947,0.929,0.934,0.053,0.053,50/50
25,Random Forest,2,True,0.97,0.97,0.949,0.958,0.03,0.028,60/40
26,Random Forest,2,True,0.983,0.955,0.974,0.962,0.045,0.007,70/30
27,Random Forest,2,True,0.96,0.96,0.845,0.895,0.04,0.039,80/20
28,Support Vector Machine,2,True,0.827,0.789,0.869,0.823,0.211,0.117,50/50
29,Support Vector Machine,2,True,0.864,0.795,0.879,0.831,0.205,0.078,60/40
30,Support Vector Machine,2,True,0.892,0.726,0.87,0.788,0.274,0.04,70/30
31,Support Vector Machine,2,True,0.9,0.779,0.736,0.754,0.221,0.068,80/20
