,Model,ID,Authentication,Accuracy,Precision,Recall,F1
0,AdaBoost,1,False,0.19,0.052,0.206,0.081
1,Decision Tree,1,False,0.985,0.986,0.986,0.986
2,Gaussian Naive Bayes,1,False,0.2,0.519,0.209,0.082
3,Nearest Neighbors,1,False,0.929,0.928,0.929,0.928
4,Neural Network,1,False,0.956,0.956,0.955,0.956
5,Quadratic Discriminant Analysis,1,False,0.955,0.959,0.952,0.953
6,Random Forest,1,False,0.994,0.994,0.995,0.994
7,Support Vector Machine,1,False,0.972,0.972,0.972,0.972
