,Model,ID,Authentication,Accuracy,Precision,Recall,F1
0,AdaBoost,2,False,0.3137254901960784,0.21903321137067266,0.37878787878787873,0.2356158992522629
1,Decision Tree,2,False,0.8627450980392157,0.8681818181818183,0.8196969696969696,0.8108381956208043
2,Gaussian Naive Bayes,2,False,0.21568627450980393,0.19790209790209792,0.19696969696969696,0.13395316804407714
3,Nearest Neighbors,2,False,0.8627450980392157,0.8696969696969696,0.8121212121212121,0.8176767676767676
4,Neural Network,2,False,0.6274509803921569,0.6720779220779222,0.6606060606060606,0.611993561993562
5,Quadratic Discriminant Analysis,2,False,0.4117647058823529,0.41489898989898993,0.429004329004329,0.34925831744013563
6,Random Forest,2,False,0.9019607843137255,0.9106060606060605,0.8575757575757575,0.8567099567099565
7,Support Vector Machine,2,False,0.8235294117647058,0.837121212121212,0.8142857142857142,0.7981790936336391
