,Model,Prediction_Time,Size
0,AdaBoost,0.007879972457885742,61643
1,AdaBoost,0.0037927627563476562,31605
2,AdaBoost,0.011888504028320312,93102
3,AdaBoost,0.007991313934326172,61643
4,AdaBoost,0.016254186630249023,124552
5,AdaBoost,0.016220569610595703,124552
6,AdaBoost,0.011992692947387695,93102
7,AdaBoost,0.0037391185760498047,31605
8,AdaBoost,0.007904052734375,61643
9,AdaBoost,0.003814220428466797,31605
10,AdaBoost,0.0038323402404785156,31605
11,AdaBoost,0.008029460906982422,61643
12,AdaBoost,0.0037813186645507812,31605
13,AdaBoost,0.007989645004272461,61643
14,AdaBoost,0.008020639419555664,61643
15,AdaBoost,0.008000850677490234,61643
16,AdaBoost,0.007923126220703125,61643
17,AdaBoost,0.007972478866577148,61643
18,AdaBoost,0.003744363784790039,31605
19,AdaBoost,0.007981538772583008,61643
20,AdaBoost,0.007997274398803711,61643
21,AdaBoost,0.003747701644897461,31605
22,AdaBoost,0.008006572723388672,61643
23,AdaBoost,0.008221626281738281,61643
24,AdaBoost,0.012314558029174805,93102
25,AdaBoost,0.007986307144165039,61643
26,AdaBoost,0.008046865463256836,61643
27,AdaBoost,0.008124351501464844,61643
28,AdaBoost,0.00803065299987793,61643
29,AdaBoost,0.0038843154907226562,31605
30,AdaBoost,0.007977962493896484,61643
31,AdaBoost,0.008013725280761719,61643
32,AdaBoost,0.003781557083129883,31605
33,AdaBoost,0.012369155883789062,93102
34,AdaBoost,0.012324333190917969,93102
35,AdaBoost,0.0080718994140625,61643
36,AdaBoost,0.008135795593261719,61643
37,AdaBoost,0.008063554763793945,61643
38,AdaBoost,0.008120059967041016,61643
39,AdaBoost,0.008057594299316406,61643
40,AdaBoost,0.003787517547607422,31605
41,AdaBoost,0.008159160614013672,61643
42,AdaBoost,0.008173942565917969,61643
43,AdaBoost,0.0038177967071533203,31605
44,Decision Tree,0.0037169456481933594,30448
45,Decision Tree,0.0036907196044921875,30301
46,Decision Tree,0.003723621368408203,30448
47,Decision Tree,0.003693103790283203,30448
48,Decision Tree,0.003672361373901367,30448
49,Decision Tree,0.003728151321411133,30448
50,Decision Tree,0.0037648677825927734,30448
51,Decision Tree,0.003665924072265625,30301
52,Decision Tree,0.004004478454589844,30448
53,Decision Tree,0.0036966800689697266,30301
54,Decision Tree,0.0036835670471191406,30301
55,Decision Tree,0.004140377044677734,30451
56,Decision Tree,0.003719329833984375,30301
57,Decision Tree,0.0037279129028320312,30448
58,Decision Tree,0.003610372543334961,30448
59,Decision Tree,0.0036783218383789062,30592
60,Decision Tree,0.0037050247192382812,30448
61,Decision Tree,0.0037565231323242188,30448
62,Decision Tree,0.0037746429443359375,30301
63,Decision Tree,0.003720521926879883,30448
64,Decision Tree,0.0036780834197998047,30448
65,Decision Tree,0.003765583038330078,30301
66,Decision Tree,0.003702878952026367,30595
67,Decision Tree,0.0036826133728027344,30448
68,Decision Tree,0.0037026405334472656,30448
69,Decision Tree,0.003675699234008789,30595
70,Decision Tree,0.003702878952026367,30592
71,Decision Tree,0.003754854202270508,30448
72,Decision Tree,0.003710508346557617,30448
73,Decision Tree,0.0037446022033691406,30301
74,Decision Tree,0.0038285255432128906,30448
75,Decision Tree,0.003721475601196289,30592
76,Decision Tree,0.003858327865600586,30301
77,Decision Tree,0.0037696361541748047,30736
78,Decision Tree,0.003662109375,30448
79,Decision Tree,0.0036826133728027344,30592
80,Decision Tree,0.003659963607788086,30736
81,Decision Tree,0.003719806671142578,30592
82,Decision Tree,0.0036742687225341797,30595
83,Decision Tree,0.003694295883178711,30448
84,Decision Tree,0.0037419795989990234,30301
85,Decision Tree,0.003686666488647461,30451
86,Decision Tree,0.003679037094116211,30595
87,Decision Tree,0.0037202835083007812,30301
88,Gaussian Naive Bayes,0.004901409149169922,51067
89,Gaussian Naive Bayes,0.0038614273071289062,51067
90,Gaussian Naive Bayes,0.003853321075439453,51067
91,Gaussian Naive Bayes,0.005793333053588867,51067
92,Gaussian Naive Bayes,0.003829479217529297,51067
93,Gaussian Naive Bayes,0.0038061141967773438,51067
94,Gaussian Naive Bayes,0.003797292709350586,51067
95,Gaussian Naive Bayes,0.0038275718688964844,51067
96,Gaussian Naive Bayes,0.003870725631713867,51067
