,Model,Prediction_Time,Size
0,AdaBoost,0.009801387786865234,75417
1,Decision Tree,0.0036458969116210938,36722
2,Gaussian Naive Bayes,0.005584239959716797,143931
3,Nearest Neighbors,0.008472442626953125,2236842
4,Neural Network,0.004231452941894531,3230101
5,Quadratic Discriminant Analysis,0.006001949310302734,2295162
6,Random Forest,0.028508424758911133,4861794
7,Support Vector Machine,0.007747173309326172,1601851
